"chunk_id","doc_uid","doc_id","concept_name","mentions_source"
"01/VBHN-BCT|Văn bản hợp nhất 01/VBHN-BCT Quy định xử phạt vi phạm hành chính trong hoạt động thương mại, sản xuất, buôn bán hàng giả, hàng cấm và bảo vệ quyền lợi người tiêu dùng|Điều 88#0","01/VBHN-BCT|Văn bản hợp nhất 01/VBHN-BCT Quy định xử phạt vi phạm hành chính trong hoạt động thương mại, sản xuất, buôn bán hàng giả, hàng cấm và bảo vệ quyền lợi người tiêu dùng|Điều 88","136174","chi nhánh","substring"
"01/VBHN-BCT|Văn bản hợp nhất 01/VBHN-BCT Quy định xử phạt vi phạm hành chính trong hoạt động thương mại, sản xuất, buôn bán hàng giả, hàng cấm và bảo vệ quyền lợi người tiêu dùng|Điều 88#0","01/VBHN-BCT|Văn bản hợp nhất 01/VBHN-BCT Quy định xử phạt vi phạm hành chính trong hoạt động thương mại, sản xuất, buôn bán hàng giả, hàng cấm và bảo vệ quyền lợi người tiêu dùng|Điều 88","136174","văn phòng đại diện","substring"
"01/VBHN-BCT|Văn bản hợp nhất 01/VBHN-BCT Quy định xử phạt vi phạm hành chính trong hoạt động thương mại, sản xuất, buôn bán hàng giả, hàng cấm và bảo vệ quyền lợi người tiêu dùng|Điều 88#0","01/VBHN-BCT|Văn bản hợp nhất 01/VBHN-BCT Quy định xử phạt vi phạm hành chính trong hoạt động thương mại, sản xuất, buôn bán hàng giả, hàng cấm và bảo vệ quyền lợi người tiêu dùng|Điều 88","136174","người đại diện theo pháp luật","substring"
"26/2024/NQ-HĐND|Nghị quyết 26/2024/NQ-HĐND Quy định về việc thực hiện hợp đồng có thời hạn để đảm nhiệm một số vị trí việc làm thuôc nhóm nghiệp vụ chuyên ngành, nghiệp vụ chuyên môn dùng chung trong cơ quan chuyên môn, tổ chức hành chính khác thuộc Ủy ban nhân dân Thành phố, Ủy ban nhân dân cấp huyện
(Thực hiện khoản 2, khoản 4 Điều 15 Luật Thủ đô)|Điều 6#0","26/2024/NQ-HĐND|Nghị quyết 26/2024/NQ-HĐND Quy định về việc thực hiện hợp đồng có thời hạn để đảm nhiệm một số vị trí việc làm thuôc nhóm nghiệp vụ chuyên ngành, nghiệp vụ chuyên môn dùng chung trong cơ quan chuyên môn, tổ chức hành chính khác thuộc Ủy ban nhân dân Thành phố, Ủy ban nhân dân cấp huyện
(Thực hiện khoản 2, khoản 4 Điều 15 Luật Thủ đô)|Điều 6","172591","hợp đồng lao động","substring"
"26/2024/NQ-HĐND|Nghị quyết 26/2024/NQ-HĐND Quy định về việc thực hiện hợp đồng có thời hạn để đảm nhiệm một số vị trí việc làm thuôc nhóm nghiệp vụ chuyên ngành, nghiệp vụ chuyên môn dùng chung trong cơ quan chuyên môn, tổ chức hành chính khác thuộc Ủy ban nhân dân Thành phố, Ủy ban nhân dân cấp huyện
(Thực hiện khoản 2, khoản 4 Điều 15 Luật Thủ đô)|Điều 6#0","26/2024/NQ-HĐND|Nghị quyết 26/2024/NQ-HĐND Quy định về việc thực hiện hợp đồng có thời hạn để đảm nhiệm một số vị trí việc làm thuôc nhóm nghiệp vụ chuyên ngành, nghiệp vụ chuyên môn dùng chung trong cơ quan chuyên môn, tổ chức hành chính khác thuộc Ủy ban nhân dân Thành phố, Ủy ban nhân dân cấp huyện
(Thực hiện khoản 2, khoản 4 Điều 15 Luật Thủ đô)|Điều 6","172591","tiền lương","substring"
"26/2024/NQ-HĐND|Nghị quyết 26/2024/NQ-HĐND Quy định về việc thực hiện hợp đồng có thời hạn để đảm nhiệm một số vị trí việc làm thuôc nhóm nghiệp vụ chuyên ngành, nghiệp vụ chuyên môn dùng chung trong cơ quan chuyên môn, tổ chức hành chính khác thuộc Ủy ban nhân dân Thành phố, Ủy ban nhân dân cấp huyện
(Thực hiện khoản 2, khoản 4 Điều 15 Luật Thủ đô)|Điều 6#0","26/2024/NQ-HĐND|Nghị quyết 26/2024/NQ-HĐND Quy định về việc thực hiện hợp đồng có thời hạn để đảm nhiệm một số vị trí việc làm thuôc nhóm nghiệp vụ chuyên ngành, nghiệp vụ chuyên môn dùng chung trong cơ quan chuyên môn, tổ chức hành chính khác thuộc Ủy ban nhân dân Thành phố, Ủy ban nhân dân cấp huyện
(Thực hiện khoản 2, khoản 4 Điều 15 Luật Thủ đô)|Điều 6","172591","phụ cấp","substring"
"94/2004/QĐ-UB|Quyết định 94/2004/QĐ-UB Về cơ chế ưu đãi khuyến khích đầu tư trên địa bàn tỉnh Quảng Nam|Điều 3#0","94/2004/QĐ-UB|Quyết định 94/2004/QĐ-UB Về cơ chế ưu đãi khuyến khích đầu tư trên địa bàn tỉnh Quảng Nam|Điều 3","51384","đầu tư nước ngoài","substring"
"94/2004/QĐ-UB|Quyết định 94/2004/QĐ-UB Về cơ chế ưu đãi khuyến khích đầu tư trên địa bàn tỉnh Quảng Nam|Điều 3#0","94/2004/QĐ-UB|Quyết định 94/2004/QĐ-UB Về cơ chế ưu đãi khuyến khích đầu tư trên địa bàn tỉnh Quảng Nam|Điều 3","51384","ưu đãi đầu tư","substring"
"1672/1998/QĐ/BTC|Quyết định 1672/1998/QĐ/BTC Về việc sửa đổi thuế suất thuế nhập khẩu của một số mặt hàng trong biểu thuế nhập khẩu|Điều 1#0","1672/1998/QĐ/BTC|Quyết định 1672/1998/QĐ/BTC Về việc sửa đổi thuế suất thuế nhập khẩu của một số mặt hàng trong biểu thuế nhập khẩu|Điều 1","82753","thuế nhập khẩu","substring"
"16/2024/TT-BTTTT|Thông tư 16/2024/TT-BTTTT Quy định chi tiết nội dung công tác triển khai, giám sát công tác triển khai, nghiệm thu đối với dự án đầu tư ứng dụng CNTT; xác định yêu cầu về chất lượng dịch vụ và các nội dung đặc thù của hợp đồng thuê dịch vụ đối với thuê dịch vụ CNTT theo yêu cầu riêng|Điều 17#4","16/2024/TT-BTTTT|Thông tư 16/2024/TT-BTTTT Quy định chi tiết nội dung công tác triển khai, giám sát công tác triển khai, nghiệm thu đối với dự án đầu tư ứng dụng CNTT; xác định yêu cầu về chất lượng dịch vụ và các nội dung đặc thù của hợp đồng thuê dịch vụ đối với thuê dịch vụ CNTT theo yêu cầu riêng|Điều 17","174916","dự án đầu tư","substring"
"86/2011/TT-BTC|Thông tư 86/2011/TT-BTC Quy định về quản lý, thanh toán vốn đầu tư và vốn sự nghiệp có tính chất đầu tư thuộc nguồn ngân sách nhà nước|Điều 5#0","86/2011/TT-BTC|Thông tư 86/2011/TT-BTC Quy định về quản lý, thanh toán vốn đầu tư và vốn sự nghiệp có tính chất đầu tư thuộc nguồn ngân sách nhà nước|Điều 5","26692","dự án đầu tư","substring"
"13/2022/NQ-HĐND.loi|Nghị quyết 13/2022/NQ-HĐND.loi Về việc Quy định mức giá dịch vụ xét nghiệm SARS-CoV-2 không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế tại các cơ sở y tế của Nhà nước thuộc tỉnh Thừa Thiên Huế|Điều 3#0","13/2022/NQ-HĐND.loi|Nghị quyết 13/2022/NQ-HĐND.loi Về việc Quy định mức giá dịch vụ xét nghiệm SARS-CoV-2 không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế tại các cơ sở y tế của Nhà nước thuộc tỉnh Thừa Thiên Huế|Điều 3","156429","bảo hiểm y tế","substring"
"13/2022/NQ-HĐND.loi|Nghị quyết 13/2022/NQ-HĐND.loi Về việc Quy định mức giá dịch vụ xét nghiệm SARS-CoV-2 không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế tại các cơ sở y tế của Nhà nước thuộc tỉnh Thừa Thiên Huế|Điều 3#0","13/2022/NQ-HĐND.loi|Nghị quyết 13/2022/NQ-HĐND.loi Về việc Quy định mức giá dịch vụ xét nghiệm SARS-CoV-2 không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế tại các cơ sở y tế của Nhà nước thuộc tỉnh Thừa Thiên Huế|Điều 3","156429","tiền lương","substring"
"53/2024/NQ-HĐND|Nghị quyết 53/2024/NQ-HĐND Quy định các lĩnh vực ưu tiên; tiêu chí, điều kiện, trình tự, thủ tục, nội dung hoạt động khởi nghiệp đổi mới sáng tạo, hoạt động hỗ trợ khởi nghiệp đổi mới sáng tạo được miễn thuế trên địa bàn thành phố Đà Nẵng|Điều 12#4","53/2024/NQ-HĐND|Nghị quyết 53/2024/NQ-HĐND Quy định các lĩnh vực ưu tiên; tiêu chí, điều kiện, trình tự, thủ tục, nội dung hoạt động khởi nghiệp đổi mới sáng tạo, hoạt động hỗ trợ khởi nghiệp đổi mới sáng tạo được miễn thuế trên địa bàn thành phố Đà Nẵng|Điều 12","173628","miễn thuế","substring"
"53/2024/NQ-HĐND|Nghị quyết 53/2024/NQ-HĐND Quy định các lĩnh vực ưu tiên; tiêu chí, điều kiện, trình tự, thủ tục, nội dung hoạt động khởi nghiệp đổi mới sáng tạo, hoạt động hỗ trợ khởi nghiệp đổi mới sáng tạo được miễn thuế trên địa bàn thành phố Đà Nẵng|Điều 12#4","53/2024/NQ-HĐND|Nghị quyết 53/2024/NQ-HĐND Quy định các lĩnh vực ưu tiên; tiêu chí, điều kiện, trình tự, thủ tục, nội dung hoạt động khởi nghiệp đổi mới sáng tạo, hoạt động hỗ trợ khởi nghiệp đổi mới sáng tạo được miễn thuế trên địa bàn thành phố Đà Nẵng|Điều 12","173628","hoàn thuế","substring"
"53/2024/NQ-HĐND|Nghị quyết 53/2024/NQ-HĐND Quy định các lĩnh vực ưu tiên; tiêu chí, điều kiện, trình tự, thủ tục, nội dung hoạt động khởi nghiệp đổi mới sáng tạo, hoạt động hỗ trợ khởi nghiệp đổi mới sáng tạo được miễn thuế trên địa bàn thành phố Đà Nẵng|Điều 12#4","53/2024/NQ-HĐND|Nghị quyết 53/2024/NQ-HĐND Quy định các lĩnh vực ưu tiên; tiêu chí, điều kiện, trình tự, thủ tục, nội dung hoạt động khởi nghiệp đổi mới sáng tạo, hoạt động hỗ trợ khởi nghiệp đổi mới sáng tạo được miễn thuế trên địa bàn thành phố Đà Nẵng|Điều 12","173628","mã số thuế","substring"
"462/TTg|Quyết định 462/TTg Về việc phê duyệt Điều lệ Quỹ hỗ trợ đầu tư Quốc gia|Điều 37#0","462/TTg|Quyết định 462/TTg Về việc phê duyệt Điều lệ Quỹ hỗ trợ đầu tư Quốc gia|Điều 37","9164","vốn điều lệ","substring"
"462/TTg|Quyết định 462/TTg Về việc phê duyệt Điều lệ Quỹ hỗ trợ đầu tư Quốc gia|Điều 37#0","462/TTg|Quyết định 462/TTg Về việc phê duyệt Điều lệ Quỹ hỗ trợ đầu tư Quốc gia|Điều 37","9164","thành viên góp vốn","substring"
"462/TTg|Quyết định 462/TTg Về việc phê duyệt Điều lệ Quỹ hỗ trợ đầu tư Quốc gia|Điều 37#0","462/TTg|Quyết định 462/TTg Về việc phê duyệt Điều lệ Quỹ hỗ trợ đầu tư Quốc gia|Điều 37","9164","giải thể","substring"
"81/2015/QH13|Luật 81/2015/QH13 Kiểm toán nhà nước|Điều 68#0","81/2015/QH13|Luật 81/2015/QH13 Kiểm toán nhà nước|Điều 68","70801","kiểm toán","substring"
"61-CP|Nghị định 61-CP Về mua bán và kinh doanh nhà ở|Điều 4#0","61-CP|Nghị định 61-CP Về mua bán và kinh doanh nhà ở|Điều 4","10316","quyền sử dụng đất","substring"
"158/2025/QĐ-UBND|Quyết định 158/2025/QĐ-UBND Ban hành Quy chế phối hợp trong quản lý nhà nước đối với doanh nghiệp và hộ kinh doanh sau đăng ký thành lập trên địa bàn tỉnh Đồng Tháp|Điều 13#0","158/2025/QĐ-UBND|Quyết định 158/2025/QĐ-UBND Ban hành Quy chế phối hợp trong quản lý nhà nước đối với doanh nghiệp và hộ kinh doanh sau đăng ký thành lập trên địa bàn tỉnh Đồng Tháp|Điều 13","185111","hộ kinh doanh","substring"
"158/2025/QĐ-UBND|Quyết định 158/2025/QĐ-UBND Ban hành Quy chế phối hợp trong quản lý nhà nước đối với doanh nghiệp và hộ kinh doanh sau đăng ký thành lập trên địa bàn tỉnh Đồng Tháp|Điều 13#0","158/2025/QĐ-UBND|Quyết định 158/2025/QĐ-UBND Ban hành Quy chế phối hợp trong quản lý nhà nước đối với doanh nghiệp và hộ kinh doanh sau đăng ký thành lập trên địa bàn tỉnh Đồng Tháp|Điều 13","185111","giấy chứng nhận đăng ký doanh nghiệp","substring"
"158/2025/QĐ-UBND|Quyết định 158/2025/QĐ-UBND Ban hành Quy chế phối hợp trong quản lý nhà nước đối với doanh nghiệp và hộ kinh doanh sau đăng ký thành lập trên địa bàn tỉnh Đồng Tháp|Điều 13#0","158/2025/QĐ-UBND|Quyết định 158/2025/QĐ-UBND Ban hành Quy chế phối hợp trong quản lý nhà nước đối với doanh nghiệp và hộ kinh doanh sau đăng ký thành lập trên địa bàn tỉnh Đồng Tháp|Điều 13","185111","tạm ngừng kinh doanh","substring"
"12/2014/QĐ-UBND|Quyết định 12/2014/QĐ-UBND Ban hành Quy chế phối hợp liên ngành trong công tác quản lý lao động là người nước ngoài làm việc tại các doanh nghiệp, tổ chức trên địa bàn tỉnh Hòa Bình|Điều 6#0","12/2014/QĐ-UBND|Quyết định 12/2014/QĐ-UBND Ban hành Quy chế phối hợp liên ngành trong công tác quản lý lao động là người nước ngoài làm việc tại các doanh nghiệp, tổ chức trên địa bàn tỉnh Hòa Bình|Điều 6","76205","người lao động","substring"
"12/2014/QĐ-UBND|Quyết định 12/2014/QĐ-UBND Ban hành Quy chế phối hợp liên ngành trong công tác quản lý lao động là người nước ngoài làm việc tại các doanh nghiệp, tổ chức trên địa bàn tỉnh Hòa Bình|Điều 6#0","12/2014/QĐ-UBND|Quyết định 12/2014/QĐ-UBND Ban hành Quy chế phối hợp liên ngành trong công tác quản lý lao động là người nước ngoài làm việc tại các doanh nghiệp, tổ chức trên địa bàn tỉnh Hòa Bình|Điều 6","76205","người sử dụng lao động","substring"
"45/2014/TT-BTC|Thông tư 45/2014/TT-BTC Hướng dẫn về thu, nộp khoản đóng góp bắt buộc, chế độ quản lý tài chính và chế độ hạch toán, kế toán đối với Quỹ phòng, chống tác hại của thuốc Iá|Điều 5#0","45/2014/TT-BTC|Thông tư 45/2014/TT-BTC Hướng dẫn về thu, nộp khoản đóng góp bắt buộc, chế độ quản lý tài chính và chế độ hạch toán, kế toán đối với Quỹ phòng, chống tác hại của thuốc Iá|Điều 5","45852","thuế tiêu thụ đặc biệt","substring"
"27/2013/TT-BLĐTBXH|Thông tư 27/2013/TT-BLĐTBXH Quy định về công tác huấn luyện an toàn lao động, vệ sinh lao động|Điều 12#0","27/2013/TT-BLĐTBXH|Thông tư 27/2013/TT-BLĐTBXH Quy định về công tác huấn luyện an toàn lao động, vệ sinh lao động|Điều 12","43642","an toàn lao động","substring"
"27/2013/TT-BLĐTBXH|Thông tư 27/2013/TT-BLĐTBXH Quy định về công tác huấn luyện an toàn lao động, vệ sinh lao động|Điều 12#0","27/2013/TT-BLĐTBXH|Thông tư 27/2013/TT-BLĐTBXH Quy định về công tác huấn luyện an toàn lao động, vệ sinh lao động|Điều 12","43642","người lao động","substring"
"12/2015/QĐ-UBND|Quyết định 12/2015/QĐ-UBND Ban hành Bảng giá tính lệ phí trước bạ xe hai bánh gắn máy, ba bánh gắn máy, xe ô tô, sơ mi rơ moóc trên địa bàn tỉnh Bến Tre|Điều 3#46","12/2015/QĐ-UBND|Quyết định 12/2015/QĐ-UBND Ban hành Bảng giá tính lệ phí trước bạ xe hai bánh gắn máy, ba bánh gắn máy, xe ô tô, sơ mi rơ moóc trên địa bàn tỉnh Bến Tre|Điều 3","96785","công ty tnhh","substring"
"23/2000/QĐ-TTg|Quyết định 23/2000/QĐ-TTg Về việc chuyển Công ty Đầu tư - Kinh doanh nhà thuộc Tổng công ty Địa ốc Sài Gòn thành Công ty cổ phần|Điều 2#0","23/2000/QĐ-TTg|Quyết định 23/2000/QĐ-TTg Về việc chuyển Công ty Đầu tư - Kinh doanh nhà thuộc Tổng công ty Địa ốc Sài Gòn thành Công ty cổ phần|Điều 2","6391","công ty cổ phần","substring"
"06/2010/QĐ-UBND|Quyết định 06/2010/QĐ-UBND ban hành Quy chế tổ chức và hoạt động của Ban Quản lý đầu tư xây dựng công trình quận 3 do Ủy ban nhân dân quận 3 ban hành|Điều 12#0","06/2010/QĐ-UBND|Quyết định 06/2010/QĐ-UBND ban hành Quy chế tổ chức và hoạt động của Ban Quản lý đầu tư xây dựng công trình quận 3 do Ủy ban nhân dân quận 3 ban hành|Điều 12","88838","giám đốc","substring"
"26/2000/QĐ-UB|Quyết định 26/2000/QĐ-UB Về việc ban hành Quy định phân cấp quản lý công trình thuỷ lợi và cơ chế, chính sách đầu tư xây dựng kiên cố hoá kênh mương|Điều 14#0","26/2000/QĐ-UB|Quyết định 26/2000/QĐ-UB Về việc ban hành Quy định phân cấp quản lý công trình thuỷ lợi và cơ chế, chính sách đầu tư xây dựng kiên cố hoá kênh mương|Điều 14","75251","dự án đầu tư","substring"
"59/2017/TT-BCA|Thông tư 59/2017/TT-BCA Quy định về giám sát và đánh giá đầu tư trong Công an nhân dân|Điều 30#0","59/2017/TT-BCA|Thông tư 59/2017/TT-BCA Quy định về giám sát và đánh giá đầu tư trong Công an nhân dân|Điều 30","180316","dự án đầu tư","substring"
"47/2009/TTLT-BTC-BLĐTBXH|Thông tư liên tịch 47/2009/TTLT-BTC-BLĐTBXH Hướng dẫn cấp phát, quản lý và sử dụng kinh phí thực hiện chính sách ưu đãi người có công với cách mạng và người trực tiếp  tham gia kháng chiến do ngành Lao động - Thương binh và Xã hội quản lý|Điều 4#0","47/2009/TTLT-BTC-BLĐTBXH|Thông tư liên tịch 47/2009/TTLT-BTC-BLĐTBXH Hướng dẫn cấp phát, quản lý và sử dụng kinh phí thực hiện chính sách ưu đãi người có công với cách mạng và người trực tiếp  tham gia kháng chiến do ngành Lao động - Thương binh và Xã hội quản lý|Điều 4","12287","bảo hiểm y tế","substring"
"38/2025/QĐ-UBND|Quyết định 38/2025/QĐ-UBND Quy định chính sách đặc thù về bồi thường, hỗ trợ, tái định cư khi Nhà nướcthu hồi đất để thực hiện Dự án đầu tư xây dựng Cảng hàng không quốc tế Gia Bình; bồi thường thiệt hại đối với vật nuôi là thủy sản chưa có quy trìnhsản xuất được cấp có thẩm quyền ban hành mà không thể di chuyển trên địa bàn tỉnh Bắc Ninh|Điều 3#0","38/2025/QĐ-UBND|Quyết định 38/2025/QĐ-UBND Quy định chính sách đặc thù về bồi thường, hỗ trợ, tái định cư khi Nhà nướcthu hồi đất để thực hiện Dự án đầu tư xây dựng Cảng hàng không quốc tế Gia Bình; bồi thường thiệt hại đối với vật nuôi là thủy sản chưa có quy trìnhsản xuất được cấp có thẩm quyền ban hành mà không thể di chuyển trên địa bàn tỉnh Bắc Ninh|Điều 3","182607","đất đai","substring"
"38/2025/QĐ-UBND|Quyết định 38/2025/QĐ-UBND Quy định chính sách đặc thù về bồi thường, hỗ trợ, tái định cư khi Nhà nướcthu hồi đất để thực hiện Dự án đầu tư xây dựng Cảng hàng không quốc tế Gia Bình; bồi thường thiệt hại đối với vật nuôi là thủy sản chưa có quy trìnhsản xuất được cấp có thẩm quyền ban hành mà không thể di chuyển trên địa bàn tỉnh Bắc Ninh|Điều 3#0","38/2025/QĐ-UBND|Quyết định 38/2025/QĐ-UBND Quy định chính sách đặc thù về bồi thường, hỗ trợ, tái định cư khi Nhà nướcthu hồi đất để thực hiện Dự án đầu tư xây dựng Cảng hàng không quốc tế Gia Bình; bồi thường thiệt hại đối với vật nuôi là thủy sản chưa có quy trìnhsản xuất được cấp có thẩm quyền ban hành mà không thể di chuyển trên địa bàn tỉnh Bắc Ninh|Điều 3","182607","dự án đầu tư","substring"
"03/2017/TT- BVHTTDL|Thông tư 03/2017/TT- BVHTTDL Thông tư quy định một số nội dung về an toàn, vệ sinh lao động đối với người lao động làm việc trong lĩnh vực nghệ thuật, thể dục thể thao.|Điều 11#0","03/2017/TT- BVHTTDL|Thông tư 03/2017/TT- BVHTTDL Thông tư quy định một số nội dung về an toàn, vệ sinh lao động đối với người lao động làm việc trong lĩnh vực nghệ thuật, thể dục thể thao.|Điều 11","127767","an toàn lao động","substring"
"03/2017/TT- BVHTTDL|Thông tư 03/2017/TT- BVHTTDL Thông tư quy định một số nội dung về an toàn, vệ sinh lao động đối với người lao động làm việc trong lĩnh vực nghệ thuật, thể dục thể thao.|Điều 11#0","03/2017/TT- BVHTTDL|Thông tư 03/2017/TT- BVHTTDL Thông tư quy định một số nội dung về an toàn, vệ sinh lao động đối với người lao động làm việc trong lĩnh vực nghệ thuật, thể dục thể thao.|Điều 11","127767","người lao động","substring"
"06/2026/QĐ-UBND|Quyết định 06/2026/QĐ-UBND Ban hành quy định công tác quản lý dự án sử dụng vốn đầu tư công; vốn ngân sách nhà nước chi thường xuyên để sửa chữa, cải tạo, nâng cấp, mở rộng, xây dựng mới hạng mục công trình trong các dự án đã đầu tư xây dựng trên địa bàn thành phố Huế|Điều 10#0","06/2026/QĐ-UBND|Quyết định 06/2026/QĐ-UBND Ban hành quy định công tác quản lý dự án sử dụng vốn đầu tư công; vốn ngân sách nhà nước chi thường xuyên để sửa chữa, cải tạo, nâng cấp, mở rộng, xây dựng mới hạng mục công trình trong các dự án đã đầu tư xây dựng trên địa bàn thành phố Huế|Điều 10","187057","dự án đầu tư","substring"
"04/TT-LB|Thông tư liên tịch 04/TT-LB Hướng dẫn bù giá điện cho công nhân viên chức, lực lượng vũ trang hưởng lương và các đối tượng chính sách xã hội|Điều VB#2","04/TT-LB|Thông tư liên tịch 04/TT-LB Hướng dẫn bù giá điện cho công nhân viên chức, lực lượng vũ trang hưởng lương và các đối tượng chính sách xã hội|Điều VB","82035","tiền lương","substring"
